name,price, Package Dimensions , Item Weight , ASIN , Item model number , Batteries ,Customer Reviews, Date First Available , Manufacturer , Memory Storage Capacity , Standing screen display size , Ram Memory Installed Size , Battery Capacity , Product Dimensions ,  OS  ,  RAM  ,  Wireless communication technologies  ,  Connectivity technologies  ,  GPS  ,  Special features  ,  Other display features  , Human Interface Input , Scanner Resolution ,  Other camera features  ,  Audio Jack  ,  Form Factor  , Color ,  Battery Power Rating  ,  Whats in the box  ,  Weight  , Language , Country of Origin ,  Phone Talk Time  , Best Sellers Rank , Is Discontinued By Manufacturer , Charging Time , Phone Standby Time (with data) ,  Display technology  
        Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal       ,349.99,, 6.3 ounces , B0B3PSRHHN , GX7AS , 1 Lithium Polymer batteries required. (included) ," 

 
   4.3  4.3 out of 5 stars    
    5,570 ratings   


 4.3 out of 5 stars "," July 18, 2022 ", Google , 128 GB , 6.13 Inches , 6 GB , 4410 Milliamp Hours , 6 x 2.8 x 0.35 inches , Android , 128 GB ,," Bluetooth, Wi-Fi, NFC ",,, Wireless , Touchscreen ,," Rear, Front ", USB-C , Bar , Charcoal , 4306 ," 1m USB-C to USB-C cable (USB 2.0), SIM Tool, Quick Switch Adapter, Cell Phone, Quick Start Guide ", 178 Grams ,,,,, No , 2 Hours ,,
        Samsung Galaxy S23 Ultra 5G SM-S918B/DS Dual SIM 256GB ROM 8GB RAM GSM Factory Unlocked Global Model (Mobile Cell Phone) (Phantom Green)       ,909.50,, 0.176 ounces , B0BV5SV5HL , SM-S918B/DS , 1 Lithium Ion batteries required. (included) ," 

 
   4.5  4.5 out of 5 stars    
    348 ratings   


 4.5 out of 5 stars "," February 8, 2023 ", Samsung , 256 GB , 6.8 Inches , 8 GB , 1 Amp Hours , 6.43 x 3.07 x 0.35 inches , Android 13.0 , 8 , Cellular , Wi-Fi ,,, Wireless ,,, Rear ,, Slate , Green , 5000 Milliamp Hours , Stylus , 0.01 Pounds ,, USA ,,,, 57 minutes ,,
"        DOOGEE S41 PRO Rugged Smartphone Unlocked,6300mAh Battery,7GB+64GB,4G Dual Sim Rugged Phone,Android 12 Phone,13MP Camera,IP68 Waterproof Cell Phone,Face Unlock,NFC/T-Mobile,Orange       ",124.99, 9.06 x 7.99 x 2.32 inches , 5.5 ounces , B0C77JF3TZ , DOOGEE S41 PRO Rugged Smartphone , 2 Lithium Polymer batteries required. (included) ," 

 
   4.6  4.6 out of 5 stars    
    16 ratings   


 4.6 out of 5 stars "," June 6, 2023 ", DOOGEE , 64 GB , 5.5 Inches , 7 GB , 4000 Milliamp Hours ,, Android 12.0 ,," Cellular, NFC ", USB , True ," Rugged Body, Dual SIM, Basic Phone, Expandable Memory, Water Resistant ", Wireless ,,, Front ,, Smartphone , Orange , 3600 ," Headphones, Manual, Screen Protector ", 155 Grams ,,, 29 Hours ,,,,,
"        SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black       ",390.00,, 189 Grams , B09R6FJWWS , SMA536U1ZKDX , 1 Lithium Ion batteries required. (included) ," 

 
   4.3  4.3 out of 5 stars    
    4,208 ratings   


 4.3 out of 5 stars "," March 17, 2022 ", Samsung , 128 GB , 6.5 Inches , 4 GB , 5000 Milliamp Hours , 0.33 x 6.3 x 2.96 inches ,,,,,,,,,,,,,,,,,, Vietnam ,,"  #7,657 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)  #1,659 in Climate Pledge Friendly: Electronics   ", No , 84 minutes ,,
"        UMIDIGI A15C (16+128GB) Android 13 NFC Unlocked Cell Phone，48MP Ultra-Clear AI Camera Mobile Phone,5000mAh Battery Smartphone,6.7"" HD Full View Display Dual Unlock Phone-Space Gray       ",149.99,, 6.9 ounces , B0CBRVK879 , A15C ,," 

 
   4.0  4.0 out of 5 stars    
    119 ratings   


 4.0 out of 5 stars "," July 13, 2023 ", UMIDIGI , 128 GB , 6.7 Inches , 18 GB , 5000 Milliamp Hours , 7.13 x 1.85 x 3.46 inches , Android 13 , 8 GB , NFC ," USB, NFC ", GPS | Glonass | Galileo | Beidou ,, Wireless , Touchscreen ,," Rear, Front ", 3.5 mm , Smartphone , Space Gray ,," 1x UMIDIGI A15C, 1x Protector Film (applied), 1x SIM Tray Ejector, 1x Phone Case, 1x Quick Start Guide, 1x USB Type-C Cable, 1x Power Adapter ", 195 Grams ,,, 35 Hours ,,,,,
"        Nokia G100 | Verizon, T-Mobile, AT&T | Android 12 | Unlocked Smartphone | 2-Day Battery | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night       ",139.76,, 6.8 ounces , B0BBWDM8MC , TA-1430 , 1 Lithium Ion batteries required. (included) ," 

 
   3.4  3.4 out of 5 stars    
    54 ratings   


 3.4 out of 5 stars "," August 25, 2022 ", HMD Global Oy , 128 GB , 6.52 Inches , 4 GB , 5000 , 6.5 x 3 x 0.4 inches , Android 12.0 , 4 GB , Cellular ," Bluetooth, Wi-Fi, USB ", True ," Fast Charging Support, Expandable Memory, Built-In GPS ", Wireless ," Touchscreen, Microphone, Buttons ", 1600 x 720 ," Rear, Front ", 3.5 mm , Slate , Polar Night , 5000 ," Power Adapter, SIM Tray Ejector, USB Cable ", 6.8 Ounces ,, China , 24 Hours ,,, 3 Hours , 3 days ,
"        Xgody X60 4G LTE Unlocked Phones, 6 Inch QHD Waterdrop Screen Android Smartphone, 2GB RAM+16GB ROM, Dual Sim Slots Cell Phone, 5MP+5MP Camera, Face Unlock, 3000mAh Mobile Phone (X60-Gold)       ",78.99, 7.52 x 6.14 x 1.65 inches , 15.8 ounces , B0CKVWZ44D ,, 1 Lithium Ion batteries required. (included) ," 

 
   4.0  4.0 out of 5 stars    
    7 ratings   


 4.0 out of 5 stars "," November 11, 2023 ", Xgody , 16 GB , 6 Inches ,,,, Android 9.0 , 2 GB ,," Bluetooth, Wi-Fi, USB ", True ,, Wireless ,,,,, smartphone , X60-Gold , 3000 Milliamp Hours ," Sim Card Tray Pin*1; User Manual*1, HD Screen Protector*1; Tempered Film*1, Phone Case*1; USB Cable*1 ",,, China ,,,,,,
        Nokia C01 Plus | Android 11 (Go Edition) | Unlocked Smartphone | 2-Day Battery | 1/32GB | 6.52-Inch Screen | Dark Blue       ,69.90,, 0.141 ounces , B09CBSS3BX , TA-1391 , 1 Lithium Ion batteries required. (included) ," 

 
   3.6  3.6 out of 5 stars    
    711 ratings   


 3.6 out of 5 stars "," June 28, 2021 ", HMD Global Oy , 32 GB , 6.52 Inches , 1 GB , 3000 Milliamp Hours , 5.83 x 2.83 x 0.37 inches , Android 11.0 , 1 GB , Bluetooth ," Bluetooth, Wi-Fi, USB ", True ," Touchscreen, Octa Core Processor, Camera, LTE, Smartphone ", Wireless ," Touchscreen, Microphone, Buttons ", 1440 x 720 ," Rear, Front ", 3.5 mm , Bar , Blue , 3000 ," SIM Tray Ejector, Adapter, Phone Case, USB Cable ", 0.14 Ounces ,,, 12 Hours ,, No , 3 Hours , 2 days ," LCD, LED "
"        NUU A23 Plus Unlocked Android Cell Phone, 64GB, 6.3"" HD, Compatible with AT&T, T-Mobile, Mint Mobile, Metro pcs Phones, 3GB Ram, Dual SIM 4G, Black, US Warranty & Hotline 2023       ",79.99, 6.7 x 4.7 x 1 inches , 11.2 ounces , B0CH7Q92J8 , A23 Plus , 1 Lithium Ion batteries required. (included) ," 

 
   4.0  4.0 out of 5 stars    
    25 ratings   


 4.0 out of 5 stars "," September 4, 2023 ", NUU Mobile , 64 GB , 6.3 Inches , 3 GB , 3850 Milliamp Hours ,, Android 13 , 3 GB , Cellular , Wireless , True ," Dual SIM, Expandable Memory, Built-In GPS, Mobile Hotspot Capability ", Wireless ,,," Rear, Front ", 3.5 mm ," Bar, Smartphone ", Black , 3850 ," User Manual, Type C Cable, Charger ", 0.32 Kilograms ,, China ,,,,,,
"        Boost Mobile Samsung A03, 32GB, Black - VIPRB-SPHA037UANBRB 4G LTE Prepaid Smartphone - Carrier Locked to       ",99.95, 7.68 x 5.98 x 1.42 inches , 12.6 ounces , B0CK55MHN8 , VIPRB-SPHA037UANBRB , 1 Lithium Ion batteries required. (included) ,," September 29, 2023 ", Samsung , 32 GB , 5.5 Inches , 3 GB ,,, Android , 32 GB ," Bluetooth, Cellular, Wi-Fi ", 4G LTE ,,, Wireless ,, 720 x 1600 ," Rear, Front ", 3.5 mm , Bar , Black , 2500 Milliamp Hours , USB Cable ,,, China ,,,,,,
        LIVELY Jitterbug Phones Smart4 Smartphone for Seniors - Cell Phone for Seniors - Must Be Activated Phone Plan - Not Compatible with Other Wireless Carriers       ,145.99,, 6.7 ounces , B0CH964JZ8 ,, 1 Lithium Ion batteries required. (included) ," 

 
   3.9  3.9 out of 5 stars    
    1,399 ratings   


 3.9 out of 5 stars "," September 4, 2023 ", Lively , 32 GB , 6.75 Inches ,,, 6.25 x 2.94 x 0.35 inches , Android 13 and Android 14 , 4 GB , Cellular , Wireless ,,, Wireless ,,, Front ,, Smartphone , Black , 4850 , Phone Case , 0.42 Pounds ,,,,,,,,
