name,price, Wireless Carrier ,  OS  , Cellular Technology ,  Connectivity technologies  , Wireless network technology , Connector Type ,  Form Factor  , Biometric Security Feature , Human Interface Input , GPS , Water Resistance Level , Special Feature , Battery Capacity , Battery Description , Battery Average Life (Talk Time) , Charging Time , Battery Power , Rear Camera Resolution , Other camera features , Optical Sensor Resolution , Screen Size , Scanner Resolution , Display Type , Memory Storage Capacity , Ram Memory Installed Size , Memory Slots Available , CPU Manufacturer , Brand , Model Name , Year ,  Whats in the box  , Manufacturer , Color ,  Weight  , Shooting Modes ,  Audio Jack  , Front Photo Sensor Resolution , Effective Video Resolution , Video Capture Resolution , Refresh Rate , Display Resolution Maximum , SIM card slot count , SIM card size , Model Number , Item Dimensions LxWxH , Warranty Description , Operating System , Connectivity Technology , Form Factor , Headphones Jack , Battery Life , Aperture Modes , Included Components , Item Weight , CPU Speed , Aspect Ratio , Phone Talk Time , Camera Flash , Lens Type , Compatible Devices , Resolution , Material Feature 
        Nokia G10 | Android 11 | Unlocked GSM Smartphone | 3-Day Battery | 3GB RAM | 64GB Storage | 6.52-Inch Screen | 13MP Triple Camera | Dusk | Not Compatible with Verizon or AT&T       ,, Unlocked , Android 11.0 , 4G ," Bluetooth, Wi-Fi, USB ", GSM ," USB Type C, 3.5mm Jack ", Slate , Fingerprint Recognition , Touchscreen , True , Not Water Resistant ," Supports Usb Otg, Expandable Memory, Built-In GPS, Mobile Hotspot Capability ", 5050 , Lithium-Ion ,, 3 Hours , 5050 , 13 MP ," Rear, Front ", 13 MP , 6.52 Inches , 1600 x 720 ,,,,,, Nokia , G10 , 2021 ," Power Adapter, SIM Tray Ejector, Phone Case, Screen Protector, USB Cable ", HMD Global Oy , Purple , 6.84 Ounces , High Dynamic Range , 3.5 mm , 8 MP , 1080 Pixels , 1080p ,,,,, TA-1346 , 6.49 x 2.99 x 0.36 inches , Limited 30 Day Warranty ,,,,, 72 Hours ,,,,,, 24 Hours , LED , Wide Angle ,,,
"        Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39       ",179.99, Unlocked for All Carriers , Android 13 , 5G , USB Type C ," GSM, LTE "," USB Type C, 3.5mm Jack ", Slate , Fingerprint Recognition ," Touchscreen, Microphone ", True , Water Repellent ," Stereo Speakers, Expandable Memory, Built-In GPS, Mobile Hotspot Capability ",, Lithium-Ion ,,,, 48 MP ," Rear, Front ", 48 MP , 6.5 Inches , 1600 x 720 , LCD ,,,,, Motorola , Moto G 5G (2023) , 2023 ," Power Adapter, SIM Tray Ejector, USB Cable ", Motorola , Ink Blue , 189 Grams , Automatic , 3.5 mm , 48 MP ,,, 120 Hz , 1600x720 Pixels , Single SIM , Nano , PAXD0009US , 6.45 x 2.95 x 0.33 inches , 1 year warranty ,,,,,, F2.4 ,,,,,, LED , Macro , Smartphones ,,
"        Ulefone Note 16 Pro(16GB+256GB) Unlocked Cell Phones, Android 13 Smartphone, 50MP Main Camera, 6.52” HD+ Waterdrop Screen, 8-Core Processor, 4400mAh Battery, Dual 4G Unlocked Cell Phone-Purple       ",, Unlocked , Android 13.0 , 4G , Wi-Fi , Wi-Fi , USB Type C , / , Face Recognition , Touchscreen ,, Water Resistant ,, 4400 Milliamp Hours , Lithium-Ion ,,, 4400 ,, Front ,, 6.52 Inches ,, LCD , 256 GB , 16 GB ,,, Ulefone , Note 16 Pro(8+256GB) Android 13 OS-Purple , 2023 , Phone Case , Ulefone , Purple , 184 Grams ,,,,,,,, Dual SIM , Nano ,,," We provide 1 year warranty(non-human damage), if you have any questions about the mobile phone please contact email: support@ulefone.com ",,,,,,,,,,,,,,,,
        OnePlus 10 Pro | 5G Android Smartphone | 8GB+128GB | U.S. Unlocked | Triple Camera co-Developed with Hasselblad | Volcanic Black       ,448.07, Unlocked ,, 5G ,, Wi-Fi , USB Type C ,, Fingerprint Recognition , Touchscreen ,, Water Resistant ,, 5000 Milliamp Hours , Lithium-Ion ,, 15 minutes , 5000 ,," Rear, Front ",, 6.7 Inches ,, AMOLED , 8 GB , 8 GB ,, Qualcomm , OnePlus , OnePlus 10 Pro , 2022 ,, OnePlus , Volcanic Black ,,,,, 8 Pixels ,,, 1080 Pixels , Single SIM , Nano , NE2115 , 7.48 x 3.78 x 2.72 inches , 1 year manufacturer , Android 12.0 ," Bluetooth, Wi-Fi, USB, NFC ", Bar ,,,," OnePlus 10 Pro, 65W SUPERVOOC Power Adapter, Type-C Cable, Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, SIM Tray Ejector, USB Dongle (Type-A to Type-C ) ", 0.44 Pounds ,,,,,,, 2560 x 1440 ,
"        xixaomiro i14Pro Max 5G Cell Phone, Unlocked Android Smartphone, 8GB+512GB, 6.8'' FHD Display Screen, 13MP+48MP Camera, 6000mAh Battery, Dual Sim Card,1TB Expandable Storage (Black)       ",, Unlocked for All Carriers , Android 13.0 , 5G , Wi-Fi ,, USB Type C , Smartphone , Face Recognition , Touchscreen ,, Waterproof ,, 6000 Milliamp Hours , Lithium-Ion ,,, 6000 ,, Front ,, 6.8 Inches , 3040 x 1440 , LCD , 512 GB ,,,, xixaomiro , Bi1407-W , 2023 ," Earphone, Adapter, Screen Protector, Phone Case, USB Cable ", xixaomiro , Black ,," Macro, Aperture Priority ",,,,,,, Dual SIM ,,, 1.97 x 1.57 x 0.39 inches ,,,,,,,,,,,,,,,,,
"        CUBOT X70 Unlocked Phones(24G+256G),Android 13 Smartphone,100MP+32MP Main/Front Camera,6.58"" HD Display Cell Phone,8-core Processor 5200mAh Battery Mobile Phones,Dual SIM/NFC/Fingerprint       ",229.99, 3 , Android 13.0 ,," Bluetooth, Wi-Fi, USB, NFC ",, USB Type C , Smartphone , Face Recognition ,, True , Water Resistant ," 🎊256GB ROM+1TB Expansion, 🎊100MP Main Camera+32MP Front Camera, 🎊Fast Charging Support, 🎊12+12GB RAM, 🎊5200mAh Battery ", 5200 Milliamp Hours , Lithium-Ion ,,, 5200 ,," Rear, Front ",, 6.58 Inches , 1080 x 2400 , LCD , 256 GB , 24 GB ,,, CUBOT , X70 , 2018 , Adapter , CUBOT , Tech Black , 480 Grams ," Portrait, Time Lapse ",,,,, 120 GHz ,, Dual SIM ,, X70 , 6.3 x 1.34 x 5.55 inches ,,,,,,,,,,,, 20 Hours ,,,,,
"        fuxinya Unlocked Cell Phones 2023 Android 13 Smartphone with Dynamic Island 8GB+128GB 8-Core Mobile Phones 6.54"" HD Screen 50MP+13MP Camera 5000 mAh Long Battery Cellphone with 4G Dual SIM - (Gold)       ",, T-Mobile , Android 13.0 , 4G , Wi-Fi , Wi-Fi , USB Type C , Bar ,,,,," Dual SIM, I14 promax, Dynamic Island ", 5000 Milliamp Hours ,,,, 5000 Milliamp Hours , 50 MP ,,, 6.54 Inches ,, LCD , 128 GB , 8 GB ,,, fuxinya , iPhone 14 Pro Max , 2023 ," 1 x SIM Needle, 1 x Phone case, 1 x User Manual, 1 x Power Adapter, 1 x USB-C 2.0 Charger Cable ", fuxinya , Gold ,,, USB Type C , 13 MP ,,,,,,,,, 2 year manufacture ,,,,,,,,,,,,,,,,
"        UMIDIGI Cell Phone G1, Android12 Unlocked Cell Phone, Dual Sim 4G LTE Mobile Phone, 3+32GB 256G Expandable, 6.52"" HD+, 5150mAh, GSM Unlocked       ",, Unlocked for All Carriers ,, 4G , Wi-Fi , LTE ,,, Face Recognition , Touchscreen ,, Water Resistant ,, 5150 Milliamp Hours , Lithium-Ion ,,,,," Rear, Front ",, 6.52 Inches ,,, 32 GB , 3 GB ,,, UMIDIGI , G1 , 2023 ,, UMIDIGI , Gold , 192 Grams , Macro ,,,,,,, Dual SIM ,, G1 , 2.98 x 0.34 x 6.61 inches ,,,,,,,,,,,, 20 Hours ,,,,,
        Hipipooo XS14Pro Mini 3G Smartphone 3.0 Inch Quad Core Dual Sim 2GB RAM 16GB ROM Sim 2600mAh Unlocked Card Android Small Mobile Phone Student Pocket Cellphone (Black)       ,, Unlocked for All Carriers , Android ,, Wi-Fi ,,, Smartphone , Face Recognition ,,, Not Water Resistant ,, 2600 Milliamp Hours , Lithium-Ion ,,, 2600 ,, Front ,,,,, 16 GB ,,,, Hipipooo , XS14Pro ,,, Hipipooo , Black ,,,,,,,,, Dual SIM ,,, 5.12 x 2.36 x 1.97 inches ,,,,,,,,,,,,,,,,,
"        UMIDIGI Rugged Smartphone Unlocked, G5 Mecha Unisoc T606 8+8GB + 128GB 6.6"" FHD Android 13 Cell Phone, IP68 Waterproof IP69K Rugged Phone, 50MP+2MP+8MP Camera, 6000mAh Battery Fast Charging,Black       ",169.99, Unlocked for All Carriers , Android , 4G , Wi-Fi ," GSM, Wi-Fi, CDMA, LTE ",, Smartphone , Face Recognition , Touchscreen ,, Waterproof ,, 6000 Milliamp Hours , Lithium-Polymer ,,, 6000 Milliamp Hours ,," Rear, Front ",, 6.6 Inches , 720 x 1612 ,, 128 GB , 8 GB ,,, UMIDIGI , G5 MeCha , 2023 ,, UMIDIGI , Black , 225 Grams , Custom ,,,,,,, Dual SIM ,, UMIDIGI , 6.46 x 2.99 x 0.39 inches ,,,,,,,,,,,, 35 Hours ,,,,,
        Ulefone Note 14 Unlocked Android Phones - 6.52-inch HD+ Display Android 12 OS 7GB RAM+16GB ROM 4500mAh Battery 8MP+5MP Camera 3-Card Slot T-Mobile Unlocked Smartphone (Purple)       ,, Unlocked , Android 12.0 ," 4G, 3G, 2G "," Bluetooth, Wi-Fi, USB ", LTE ," USB Type C, 3.5mm Jack ", Touch Screen , Face Recognition , Touchscreen , GPS/Beidou/Galileo/GLONASS , Not Water Resistant ," 6.52-INCH DISPLAY, 3-CARD SLOT, 7GB RAM, 16GB ROM, ANDROID 12 OS, 8MP MAIN CAMERA ",, Lithium-Polymer ,, 246 Hours , 4500 Milliampere Hour (mAh) , 7.98 MP ," 5MP Front Camera Pixel, FOV 78°, ƒ/2.0 large aperture, 8MP Main Rear Camera Pixel, FOV 69°, ƒ/1.8 large aperture ",, 6.52 Inches ,, LCD ,,,,, Ulefone , Ulefone Note 14 Phone Purple , 2022 ," USB-A to USB Type-C 2.0 Charger Cable (1M) * 1, User manual * 1(PS: If need any supports, please contact : amazon@ulefone.com), SIM needle * 1, AC power charger (100~240V /US plug) * 1, TPU Protective Case * 1 ", Ulefone , Purple , 6.56 Ounces , Panorama , 3.5 mm , 5 MP ,," 1080P@30fps, 720P@30fps, 480P@30fps ", 60 Hz , 720 x 1600 HD+ Pixels ,,, US-NO14 , 6.48 x 2.99 x 0.35 inches , 1 year under non-human broken ,,,,, 246 Hours ,,,,,, 25 Hours , Dual LED , Macro , Ulefone ,,
"        DOOGEE Rugged Smartphone,7GB+64GB S41 PRO Rugged Phone Unlocked,Android 12 Phone,6300mAh Battery，13MP Camera,IP68/IP69K Waterproof Phone,Face Unlock,4G Dual Sim NFC/T-Mobile,Black       ",, Unlocked for All Carriers , Android 12.0 , 4G ," Bluetooth, Wi-Fi, USB, NFC "," Wi-Fi, LTE ", USB Type C , Rugged Smartphone , Fingerprint Recognition ,, True , Waterproof ," Fast Charging Support, Dual SIM, Basic Phone, Expandable Memory, Built-In GPS ", 6300 Milliamp Hours , Lithium-Ion ,, 0.01 , 6299.98 Amp Hours , 13 MP , Front ,, 5.5 Inches , 720 x 1440 , LCD , 64 GB , 7 GB , 2 , Helio A22 Quad Core 12nm 4 x Cortex A53 , DOOGEE , DOOGEE S41 PRO Rugged Smartphone , 2023 , 1 x Cellphone 1 x Type-C USB Cable 1 x Charger (5V/1A) 1 x Protective film(pre-applied) 1 x Anti-explosion film 1 x SIM Card Pin 1 x Wrist rope 1 x Packing Box 1 x Manual 1 x Warranty Card , DOOGEE , Black ,,,,,, 1080p ,, 1200*1920 Pixels , Dual SIM , Nano , DOOGEE S41 PRO Rugged Smartphone , 6.38 x 3.07 x 0.64 inches ,,,,,,,,,,,, 24 Hours ,,," HDMI, earphone ",," Recyclable, Sustainable "
"        Mi13 Cell Phone Unlocked 5G Dual Sim, Android 13 Mobile Smartphone, 8GB+512GB, 1TB Expandable, 6000mah Battery, 6.8"" FHD Screen, 3040x1440 Resolution, 48+13MP Camera (Green)       ",, Unlocked , Android 13.0 , 5G ," Bluetooth, Wi-Fi ", GSM , USB Type C , Bar , Face Recognition ,, True , Not Water Resistant ," Rugged Body, Fast Charging Support, Dual SIM, Expandable Memory, Built-In GPS ", 6000 Milliamp Hours , Lithium-Ion ,,, 6000 Milliamp Hours , 48 MP , Front ,, 6.8 Inches , 3040 x 1440 , OLED , 512 GB , 512 GB , 2 ,, Generic , Mi13 ,," Adapter, Phone Case, Screen Protector, USB Cable ", EvolveWave , Green , 7.48 Ounces ,,,,,, 90 Hz , 3040x1440 Pixels , Dual SIM ,, Mi13 , 3.15 x 0.35 x 6.57 inches , 1 Year Warranty ,,,,,,,,,,,,,,,, Sustainable 
"        Xgody 13 Pro 6.56'' Screen Android Phone, 15MP+5MP Camera Unlocked Cell Phones, Android 10 Dual SIM Slots Cheap Smartphone, 2GB+16GB Mobile Phones, 3670mAh, OTG, Face Unlock Smart Phones (Gray Black)       ",, Unlocked for All Carriers , Android 10.0 ," 4G, 3G, 2G "," Bluetooth, Wi-Fi, USB "," GSM, CDMA, LTE ", USB Type C , smartphone ,,, True ,,, 3670 Milliamp Hours , Lithium-Ion ,,, 3670 Milliamp Hours ,,,, 6.56 Inches ,, LCD , 16 GB , 2 GB , 1 ,, Xgody , 13 Pro ,," 1*Phone Case; 1*USB Cable, 1*SIM Eject Tool; 1*User Manual, 1*Screen Protector; 1*HD Screen Protector ", Xgody , Gray Black ,,,,,,,, 1600*720 Pixels , Dual SIM , Nano ,,, 6 Months ,,,,,,,,,,,,,,,,
